Node id,Node name,Node Type
0,DNCP-SICP-CODE-3,institution
1,DNCP-SICP-CODE-238,institution
2,DNCP-SICP-CODE-27,institution
3,DNCP-SICP-CODE-273,institution
4,DNCP-SICP-CODE-329,institution
5,DNCP-SICP-CODE-105,institution
6,DNCP-SICP-CODE-106,institution
7,DNCP-SICP-CODE-12,institution
8,DNCP-SICP-CODE-18,institution
9,DNCP-SICP-CODE-20,institution
10,DNCP-SICP-CODE-21,institution
11,DNCP-SICP-CODE-51,institution
12,DNCP-SICP-CODE-358,institution
13,DNCP-SICP-CODE-232,institution
14,DNCP-SICP-CODE-104,institution
15,DNCP-SICP-CODE-108,institution
16,DNCP-SICP-CODE-11,institution
17,DNCP-SICP-CODE-118,institution
18,DNCP-SICP-CODE-167,institution
19,DNCP-SICP-CODE-179,institution
20,DNCP-SICP-CODE-189,institution
21,DNCP-SICP-CODE-306,institution
22,DNCP-SICP-CODE-25,institution
23,DNCP-SICP-CODE-14,institution
24,DNCP-SICP-CODE-280,institution
25,DNCP-SICP-CODE-66,institution
26,DNCP-SICP-CODE-24,institution
27,DNCP-SICP-CODE-144,institution
28,DNCP-SICP-CODE-226,institution
29,DNCP-SICP-CODE-301,institution
30,DNCP-SICP-CODE-304,institution
31,DNCP-SICP-CODE-32,institution
32,DNCP-SICP-CODE-191,institution
33,DNCP-SICP-CODE-15,institution
34,DNCP-SICP-CODE-169,institution
35,DNCP-SICP-CODE-17,institution
36,DNCP-SICP-CODE-177,institution
37,DNCP-SICP-CODE-281,institution
38,DNCP-SICP-CODE-318,institution
39,DNCP-SICP-CODE-355,institution
40,DNCP-SICP-CODE-91,institution
41,DNCP-SICP-CODE-92,institution
42,DNCP-SICP-CODE-183,institution
43,DNCP-SICP-CODE-211,institution
44,DNCP-SICP-CODE-246,institution
45,DNCP-SICP-CODE-276,institution
46,DNCP-SICP-CODE-196,institution
47,DNCP-SICP-CODE-317,institution
48,DNCP-SICP-CODE-376,institution
49,DNCP-SICP-CODE-237,institution
50,DNCP-SICP-CODE-69,institution
51,DNCP-SICP-CODE-26,institution
52,DNCP-SICP-CODE-233,institution
53,DNCP-SICP-CODE-213,institution
54,DNCP-SICP-CODE-305,institution
55,DNCP-SICP-CODE-1,institution
56,DNCP-SICP-CODE-100,institution
57,DNCP-SICP-CODE-102,institution
58,DNCP-SICP-CODE-107,institution
59,DNCP-SICP-CODE-120,institution
60,DNCP-SICP-CODE-122,institution
61,DNCP-SICP-CODE-128,institution
62,DNCP-SICP-CODE-129,institution
63,DNCP-SICP-CODE-134,institution
64,DNCP-SICP-CODE-137,institution
65,DNCP-SICP-CODE-138,institution
66,DNCP-SICP-CODE-140,institution
67,DNCP-SICP-CODE-159,institution
68,DNCP-SICP-CODE-163,institution
69,DNCP-SICP-CODE-176,institution
70,DNCP-SICP-CODE-178,institution
71,DNCP-SICP-CODE-193,institution
72,DNCP-SICP-CODE-203,institution
73,DNCP-SICP-CODE-208,institution
74,DNCP-SICP-CODE-230,institution
75,DNCP-SICP-CODE-231,institution
76,DNCP-SICP-CODE-271,institution
77,DNCP-SICP-CODE-278,institution
78,DNCP-SICP-CODE-279,institution
79,DNCP-SICP-CODE-28,institution
80,DNCP-SICP-CODE-298,institution
81,DNCP-SICP-CODE-299,institution
82,DNCP-SICP-CODE-303,institution
83,DNCP-SICP-CODE-307,institution
84,DNCP-SICP-CODE-308,institution
85,DNCP-SICP-CODE-31,institution
86,DNCP-SICP-CODE-316,institution
87,DNCP-SICP-CODE-320,institution
88,DNCP-SICP-CODE-321,institution
89,DNCP-SICP-CODE-322,institution
90,DNCP-SICP-CODE-325,institution
91,DNCP-SICP-CODE-326,institution
92,DNCP-SICP-CODE-332,institution
93,DNCP-SICP-CODE-334,institution
94,DNCP-SICP-CODE-337,institution
95,DNCP-SICP-CODE-340,institution
96,DNCP-SICP-CODE-352,institution
97,DNCP-SICP-CODE-368,institution
98,DNCP-SICP-CODE-37,institution
99,DNCP-SICP-CODE-39,institution
100,DNCP-SICP-CODE-59,institution
101,DNCP-SICP-CODE-65,institution
102,DNCP-SICP-CODE-75,institution
103,DNCP-SICP-CODE-79,institution
104,DNCP-SICP-CODE-87,institution
105,DNCP-SICP-CODE-88,institution
106,DNCP-SICP-CODE-101,institution
107,DNCP-SICP-CODE-251,institution
108,DNCP-SICP-CODE-135,institution
109,DNCP-SICP-CODE-173,institution
110,DNCP-SICP-CODE-80,institution
111,DNCP-SICP-CODE-2,institution
112,DNCP-SICP-CODE-55,institution
113,DNCP-SICP-CODE-309,institution
114,DNCP-SICP-CODE-49,institution
115,DNCP-SICP-CODE-174,institution
116,DNCP-SICP-CODE-199,institution
117,DNCP-SICP-CODE-44,institution
118,DNCP-SICP-CODE-50,institution
119,DNCP-SICP-CODE-218,institution
120,DNCP-SICP-CODE-77,institution
121,DNCP-SICP-CODE-186,institution
122,DNCP-SICP-CODE-190,institution
123,DNCP-SICP-CODE-143,institution
124,DNCP-SICP-CODE-57,institution
125,DNCP-SICP-CODE-73,institution
126,DNCP-SICP-CODE-74,institution
127,DNCP-SICP-CODE-98,institution
128,DNCP-SICP-CODE-62,institution
129,DNCP-SICP-CODE-76,institution
130,DNCP-SICP-CODE-221,institution
131,DNCP-SICP-CODE-157,institution
132,DNCP-SICP-CODE-132,institution
133,DNCP-SICP-CODE-294,institution
134,DNCP-SICP-CODE-81,institution
135,DNCP-SICP-CODE-236,institution
136,DNCP-SICP-CODE-371,institution
137,DNCP-SICP-CODE-220,institution
138,DNCP-SICP-CODE-123,institution
139,DNCP-SICP-CODE-13,institution
140,DNCP-SICP-CODE-136,institution
141,DNCP-SICP-CODE-145,institution
142,DNCP-SICP-CODE-162,institution
143,DNCP-SICP-CODE-297,institution
144,DNCP-SICP-CODE-336,institution
145,DNCP-SICP-CODE-82,institution
146,DNCP-SICP-CODE-141,institution
147,DNCP-SICP-CODE-78,institution
148,DNCP-SICP-CODE-235,institution
149,DNCP-SICP-CODE-351,institution
150,DNCP-SICP-CODE-155,institution
151,DNCP-SICP-CODE-204,institution
152,DNCP-SICP-CODE-217,institution
153,DNCP-SICP-CODE-234,institution
154,DNCP-SICP-CODE-205,institution
155,DNCP-SICP-CODE-121,institution
156,DNCP-SICP-CODE-266,institution
157,DNCP-SICP-CODE-267,institution
158,DNCP-SICP-CODE-185,institution
159,DNCP-SICP-CODE-188,institution
160,DNCP-SICP-CODE-45,institution
161,DNCP-SICP-CODE-335,institution
162,DNCP-SICP-CODE-61,institution
163,DNCP-SICP-CODE-342,institution
164,DNCP-SICP-CODE-40,institution
165,DNCP-SICP-CODE-300,institution
166,DNCP-SICP-CODE-311,institution
167,DNCP-SICP-CODE-347,institution
168,DNCP-SICP-CODE-372,institution
169,DNCP-SICP-CODE-378,institution
170,DNCP-SICP-CODE-379,institution
171,DNCP-SICP-CODE-391,institution
172,DNCP-SICP-CODE-290,institution
173,DNCP-SICP-CODE-284,institution
174,DNCP-SICP-CODE-360,institution
175,DNCP-SICP-CODE-63,institution
176,DNCP-SICP-CODE-270,institution
177,DNCP-SICP-CODE-272,institution
178,DNCP-SICP-CODE-247,institution
179,DNCP-SICP-CODE-4,institution
180,DNCP-SICP-CODE-269,institution
181,DNCP-SICP-CODE-200,institution
182,DNCP-SICP-CODE-268,institution
183,DNCP-SICP-CODE-117,institution
184,DNCP-SICP-CODE-214,institution
185,DNCP-SICP-CODE-209,institution
186,DNCP-SICP-CODE-244,institution
187,DNCP-SICP-CODE-156,institution
188,DNCP-SICP-CODE-327,institution
189,DNCP-SICP-CODE-142,institution
190,DNCP-SICP-CODE-97,institution
191,DNCP-SICP-CODE-64,institution
192,DNCP-SICP-CODE-112,institution
193,DNCP-SICP-CODE-289,institution
194,DNCP-SICP-CODE-292,institution
195,DNCP-SICP-CODE-367,institution
196,DNCP-SICP-CODE-43,institution
197,DNCP-SICP-CODE-99,institution
198,DNCP-SICP-CODE-172,institution
199,DNCP-SICP-CODE-60,institution
200,DNCP-SICP-CODE-83,institution
201,DNCP-SICP-CODE-286,institution
202,DNCP-SICP-CODE-36,institution
203,DNCP-SICP-CODE-210,institution
204,DNCP-SICP-CODE-197,institution
205,DNCP-SICP-CODE-207,institution
206,DNCP-SICP-CODE-48,institution
207,DNCP-SICP-CODE-5,institution
208,DNCP-SICP-CODE-131,institution
209,DNCP-SICP-CODE-85,institution
210,DNCP-SICP-CODE-277,institution
211,DNCP-SICP-CODE-265,institution
212,DNCP-SICP-CODE-260,institution
213,DNCP-SICP-CODE-148,institution
214,DNCP-SICP-CODE-160,institution
215,DNCP-SICP-CODE-256,institution
216,DNCP-SICP-CODE-187,institution
217,DNCP-SICP-CODE-6,institution
218,DNCP-SICP-CODE-90,institution
219,DNCP-SICP-CODE-291,institution
220,DNCP-SICP-CODE-302,institution
221,DNCP-SICP-CODE-249,institution
222,DNCP-SICP-CODE-30,institution
223,DNCP-SICP-CODE-67,institution
224,DNCP-SICP-CODE-182,institution
225,DNCP-SICP-CODE-194,institution
226,DNCP-SICP-CODE-229,institution
227,DNCP-SICP-CODE-257,institution
228,DNCP-SICP-CODE-95,institution
229,DNCP-SICP-CODE-338,institution
230,DNCP-SICP-CODE-359,institution
231,DNCP-SICP-CODE-9,institution
