compiledRelease/buyer/id,compiledRelease/buyer/name,ID_cat,Nombre Categoría
DNCP-SICP-CODE-230,Universidad Nacional del Este (UNE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-176,Municipalidad de Obligado,Cat14,Muebles y Enseres
DNCP-SICP-CODE-331,Municipalidad de Carmelo Peralta,Cat14,Muebles y Enseres
DNCP-SICP-CODE-305,Ministerio de Hacienda,Cat14,Muebles y Enseres
DNCP-SICP-CODE-127,Municipalidad de Alto Verá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-206,Municipalidad de San Pedro del Paraná,Cat14,Muebles y Enseres
DNCP-SICP-CODE-190,Municipalidad de Nueva Esperanza,Cat14,Muebles y Enseres
DNCP-SICP-CODE-289,Municipalidad de Dr. Bottrell,Cat14,Muebles y Enseres
DNCP-SICP-CODE-226,Universidad Nacional de Asunción (UNA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-291,Municipalidad de Gral. Eugenio A. Garay,Cat14,Muebles y Enseres
DNCP-SICP-CODE-83,Municipalidad de Santa Rosa del Mbutuy,Cat14,Muebles y Enseres
DNCP-SICP-CODE-335,Instituto Forestal Nacional (INFONA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-204,Municipalidad de San Cosme y Damián,Cat14,Muebles y Enseres
DNCP-SICP-CODE-301,Presidencia de la República,Cat14,Muebles y Enseres
DNCP-SICP-CODE-253,Municipalidad de Itacurubí del Rosario,Cat14,Muebles y Enseres
DNCP-SICP-CODE-96,Municipalidad de Caazapá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-156,Municipalidad de San Juan Bautista Ñeembucu,Cat14,Muebles y Enseres
DNCP-SICP-CODE-306,Ministerio de Salud Pública y Bienestar Social (MSPBS),Cat14,Muebles y Enseres
DNCP-SICP-CODE-172,Municipalidad de la Paz,Cat14,Muebles y Enseres
DNCP-SICP-CODE-134,Municipalidad de Coronel Bogado,Cat14,Muebles y Enseres
DNCP-SICP-CODE-103,Municipalidad de Alberdi,Cat14,Muebles y Enseres
DNCP-SICP-CODE-241,Municipalidad de Concepción,Cat14,Muebles y Enseres
DNCP-SICP-CODE-150,Municipalidad de Humaitá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-13,Ministerio de Industria y Comercio (MIC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-222,Caja de Préstamos del Ministerio de Defensa Nacional (CAJA MDN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-304,Ministerio de Defensa Nacional (MDN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-299,Ministerio del Interior (M.I.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-131,Municipalidad de Capitán Miranda,Cat14,Muebles y Enseres
DNCP-SICP-CODE-167,Administración Nacional de Electricidad (ANDE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-337,Instituto Paraguayo de Tecnologia Agraria (IPTA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-139,Secretaría de Transporte Área Metropolitana de Asuncion (SETAMA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-12,Ministerio de Agricultura y Ganadería (MAG),Cat14,Muebles y Enseres
DNCP-SICP-CODE-123,Instituto Paraguayo del Indígena (INDI),Cat14,Muebles y Enseres
DNCP-SICP-CODE-309,Compañía Paraguaya de Comunicaciones (COPACO),Cat14,Muebles y Enseres
DNCP-SICP-CODE-125,Fondo Nacional de la Cultura y las Artes (FONDEC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-120,Municipalidad de Villeta,Cat14,Muebles y Enseres
DNCP-SICP-CODE-179,Petróleos Paraguayos (PETROPAR),Cat14,Muebles y Enseres
DNCP-SICP-CODE-155,Municipalidad de Pilar,Cat14,Muebles y Enseres
DNCP-SICP-CODE-106,Instituto Nacional de Desarrollo Rural y de la Tierra (INDERT),Cat14,Muebles y Enseres
DNCP-SICP-CODE-221,Fondo Ganadero (FG.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-303,Ministerio de Relaciones Exteriores (MRE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-75,Municipalidad de la Colmena,Cat14,Muebles y Enseres
DNCP-SICP-CODE-217,Municipalidad de Santa Rosa Misiones,Cat14,Muebles y Enseres
DNCP-SICP-CODE-195,Municipalidad de Ybytimi,Cat14,Muebles y Enseres
DNCP-SICP-CODE-209,Municipalidad de Trinidad,Cat14,Muebles y Enseres
DNCP-SICP-CODE-185,Municipalidad de Gral. Francisco Caballero Alvarez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-318,Municipalidad de Tte Irala Fernandez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-20,Ministerio de Obras Públicas y Comunicaciones (MOPC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-247,Municipalidad de Antequera,Cat14,Muebles y Enseres
DNCP-SICP-CODE-208,Municipalidad de Tomás Romero Pereira,Cat14,Muebles y Enseres
DNCP-SICP-CODE-60,Municipalidad de la Pastora,Cat14,Muebles y Enseres
DNCP-SICP-CODE-171,Municipalidad de José Leandro Oviedo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-188,Municipalidad de la Paloma del Espiritu Santo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-132,Municipalidad de Cárlos Antonio López,Cat14,Muebles y Enseres
DNCP-SICP-CODE-26,Municipalidad de Paraguarí,Cat14,Muebles y Enseres
DNCP-SICP-CODE-89,Municipalidad de J. Augusto Saldivar,Cat14,Muebles y Enseres
DNCP-SICP-CODE-170,Municipalidad de Jesús,Cat14,Muebles y Enseres
DNCP-SICP-CODE-157,Instituto de Previsión Social (IPS),Cat14,Muebles y Enseres
DNCP-SICP-CODE-107,Dirección de Beneficencia (DIBEN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-108,Municipalidad de Asunción,Cat14,Muebles y Enseres
DNCP-SICP-CODE-266,Municipalidad de Altos,Cat14,Muebles y Enseres
DNCP-SICP-CODE-279,Municipalidad de Piribebuy,Cat14,Muebles y Enseres
DNCP-SICP-CODE-372,Ministerio de Desarrollo Social (MDS),Cat14,Muebles y Enseres
DNCP-SICP-CODE-183,Municipalidad de Pedro Juan Caballero,Cat14,Muebles y Enseres
DNCP-SICP-CODE-146,Municipalidad de Cerrito,Cat14,Muebles y Enseres
DNCP-SICP-CODE-153,Municipalidad de Mayor José D. Martinez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-336,Ministerio del Ambiente y Desarrollo Sostenible (MADES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-21,Corte Suprema de Justicia (CSJ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-334,Universidad Nacional de Caaguazu (UNCA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-322,Universidad Nacional de Concepción (UNC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-263,Municipalidad de Villa del Rosario,Cat14,Muebles y Enseres
DNCP-SICP-CODE-25,Ministerio Público - Fiscalía (FGE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-292,Municipalidad de Independencia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-317,Servicio Nacional de Calidad y Sanidad Vegetal y de Semillas (SENAVE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-358,Ag. Nac. de Eval. y Acreditación de la Educación Superior (ANEAES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-326,Dirección Nacional de Contrataciones Públicas (DNCP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-201,Municipalidad de Itakyry,Cat14,Muebles y Enseres
DNCP-SICP-CODE-30,Consejo de la Magistratura (C.M.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-111,Municipalidad de Maciel,Cat14,Muebles y Enseres
DNCP-SICP-CODE-140,Municipalidad de Encarnación,Cat14,Muebles y Enseres
DNCP-SICP-CODE-298,Congreso Nacional (C.N.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-325,Universidad Nacional de Villarrica del Espiritu Santo (UNVES),Cat14,Muebles y Enseres
DNCP-SICP-CODE-193,Municipalidad de Yaguaron,Cat14,Muebles y Enseres
DNCP-SICP-CODE-1,Ministerio de Educación y Ciencias (MEC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-49,Municipalidad de Santa Rosa del Monday,Cat14,Muebles y Enseres
DNCP-SICP-CODE-178,Dirección Nacional de Aeronáutica Civil (DINAC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-163,Caja de Jubilaciones y Pensiones del Personal Municipal (CAJ.MUNIC.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-57,Municipalidad de Juan Eulogio Estigarribia,Cat14,Muebles y Enseres
DNCP-SICP-CODE-138,Direccion Nacional de Transporte (DINATRAN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-48,Municipalidad de Santa Rita,Cat14,Muebles y Enseres
DNCP-SICP-CODE-2,Municipalidad de Salto del Guairá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-321,Municipalidad de Loma Plata,Cat14,Muebles y Enseres
DNCP-SICP-CODE-52,Municipalidad de 3 de Febrero,Cat14,Muebles y Enseres
DNCP-SICP-CODE-355,"Ministerio de Trabajo, Empleo y Seguridad Social (MTESS)",Cat14,Muebles y Enseres
DNCP-SICP-CODE-128,Municipalidad de Bella Vista - Itapúa,Cat14,Muebles y Enseres
DNCP-SICP-CODE-63,Municipalidad de Yguazú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-50,Gobierno Departamental de San Pedro (S.PEDRO),Cat14,Muebles y Enseres
DNCP-SICP-CODE-101,Municipalidad de Luque,Cat14,Muebles y Enseres
DNCP-SICP-CODE-205,Municipalidad de San Juan del Paraná,Cat14,Muebles y Enseres
DNCP-SICP-CODE-191,Banco Nacional de Fomento (BNF),Cat14,Muebles y Enseres
DNCP-SICP-CODE-237,Universidad Nacional de Itapúa (UNI),Cat14,Muebles y Enseres
DNCP-SICP-CODE-137,Comisión Nacional de Telecomunicaciones (CONATEL),Cat14,Muebles y Enseres
DNCP-SICP-CODE-308,Dirección Nacional de Aduanas (DNA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-64,Municipalidad de Aregua,Cat14,Muebles y Enseres
DNCP-SICP-CODE-294,Municipalidad de Iturbe,Cat14,Muebles y Enseres
DNCP-SICP-CODE-307,Servicio Nacional de Calidad y Salud Animal (SENACSA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-27,Municipalidad de Pirayú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-122,Municipalidad de Ypané,Cat14,Muebles y Enseres
DNCP-SICP-CODE-14,Municipalidad de Villa Hayes,Cat14,Muebles y Enseres
DNCP-SICP-CODE-81,Gobierno Departamental de Central (CENTRAL),Cat14,Muebles y Enseres
DNCP-SICP-CODE-203,Municipalidad de Pirapó,Cat14,Muebles y Enseres
DNCP-SICP-CODE-229,Municipalidad de Caapucú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-162,Caja de Jubilaciones y Pensiones de Empleados de Bancarios (CAJ.BANC.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-45,Municipalidad de San Alberto,Cat14,Muebles y Enseres
DNCP-SICP-CODE-142,Municipalidad de General Artigas,Cat14,Muebles y Enseres
DNCP-SICP-CODE-118,Municipalidad de San Lorenzo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-196,Municipalidad de Ciudad del Este,Cat14,Muebles y Enseres
DNCP-SICP-CODE-135,Municipalidad de Edelira,Cat14,Muebles y Enseres
DNCP-SICP-CODE-3,Municipalidad de Villa Curuguaty,Cat14,Muebles y Enseres
DNCP-SICP-CODE-339,Municipalidad de Gral Jose M. Bruguez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-200,Municipalidad de Iruña,Cat14,Muebles y Enseres
DNCP-SICP-CODE-121,Municipalidad de Ypacarai,Cat14,Muebles y Enseres
DNCP-SICP-CODE-198,Municipalidad de Juan León Mallorquín,Cat14,Muebles y Enseres
DNCP-SICP-CODE-28,Municipalidad de Quiindy,Cat14,Muebles y Enseres
DNCP-SICP-CODE-267,Municipalidad de Arroyos y Esteros,Cat14,Muebles y Enseres
DNCP-SICP-CODE-189,Industria Nacional del Cemento (INC),Cat14,Muebles y Enseres
DNCP-SICP-CODE-177,Municipalidad de Sapucai,Cat14,Muebles y Enseres
DNCP-SICP-CODE-99,Municipalidad de Lambaré,Cat14,Muebles y Enseres
DNCP-SICP-CODE-94,Municipalidad de Buena Vista,Cat14,Muebles y Enseres
DNCP-SICP-CODE-136,Comisión Nacional de Valores (CNV),Cat14,Muebles y Enseres
DNCP-SICP-CODE-347,Ministerio de la Mujer (MM),Cat14,Muebles y Enseres
DNCP-SICP-CODE-117,Municipalidad de San Antonio,Cat14,Muebles y Enseres
DNCP-SICP-CODE-51,Gobierno Departamental de Cordillera (CORDILLERA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-61,Gobierno Departamental de Guairá (GUAIRÁ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-220,Crédito Agrícola de Habilitación (CAH),Cat14,Muebles y Enseres
DNCP-SICP-CODE-159,Caja de Jubilaciones y Pensiones del Personal de la Ande (CAJA ANDE),Cat14,Muebles y Enseres
DNCP-SICP-CODE-223,Municipalidad de Juan E. O'Leary,Cat14,Muebles y Enseres
DNCP-SICP-CODE-231,Universidad Nacional de Pilar (UNP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-169,Administración Nacional de Navegación y Puertos (ANNP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-311,Instituto Paraguayo de Artesania (IPA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-31,Contraloría General de la República (C.G.R.),Cat14,Muebles y Enseres
DNCP-SICP-CODE-39,Banco Central del Paraguay (BCP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-332,Jurado de Enjuiciamiento de Magistrados (JEM),Cat14,Muebles y Enseres
DNCP-SICP-CODE-32,Defensoría del Pueblo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-79,Municipalidad de Itá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-300,Honorable Cámara de Diputados (DIPUTADOS),Cat14,Muebles y Enseres
DNCP-SICP-CODE-97,Municipalidad de San Joaquín,Cat14,Muebles y Enseres
DNCP-SICP-CODE-36,Municipalidad de San Salvador,Cat14,Muebles y Enseres
DNCP-SICP-CODE-187,Municipalidad de Katuete,Cat14,Muebles y Enseres
DNCP-SICP-CODE-316,Agencia Financiera de Desarrollo (AFD),Cat14,Muebles y Enseres
DNCP-SICP-CODE-173,Municipalidad de Mayor Otaño,Cat14,Muebles y Enseres
DNCP-SICP-CODE-287,Municipalidad de Mauricio José Troche,Cat14,Muebles y Enseres
DNCP-SICP-CODE-277,Municipalidad de Mbocayaty del Yhaguy,Cat14,Muebles y Enseres
DNCP-SICP-CODE-15,Municipalidad de Fuerte Olimpo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-80,Gobierno Departamental de Alto Paraná (A.PARANÁ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-119,Municipalidad de Villa Elisa,Cat14,Muebles y Enseres
DNCP-SICP-CODE-269,Municipalidad de Caacupé,Cat14,Muebles y Enseres
DNCP-SICP-CODE-65,Municipalidad de Capiatá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-248,Municipalidad de Capiibary,Cat14,Muebles y Enseres
DNCP-SICP-CODE-66,Municipalidad de Fernando de la Mora,Cat14,Muebles y Enseres
DNCP-SICP-CODE-88,Municipalidad de Itaugua,Cat14,Muebles y Enseres
DNCP-SICP-CODE-90,Gobierno Departamental de Canindeyú (CANINDEYÚ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-40,Gobierno Departamental de Concepción (CONCEPCIÓN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-53,Municipalidad de Caaguazú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-104,"Instituto Nacional de Tecnología, Normalización y Metrología (INTN)",Cat14,Muebles y Enseres
DNCP-SICP-CODE-18,Empresa de Servicios Sanitarios del Paraguay (ESSAP),Cat14,Muebles y Enseres
DNCP-SICP-CODE-129,Municipalidad de Cambyretá,Cat14,Muebles y Enseres
DNCP-SICP-CODE-130,Municipalidad de Capitán Meza,Cat14,Muebles y Enseres
DNCP-SICP-CODE-144,Ente Regulador de Servicios Sanitarios (ERSSAN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-340,Universidad Nacional de Canindeyu (UNICAN),Cat14,Muebles y Enseres
DNCP-SICP-CODE-250,Municipalidad de Gral. Elizardo Aquino,Cat14,Muebles y Enseres
DNCP-SICP-CODE-338,Dirección Nacional de Correos del Paraguay (DINACOPA),Cat14,Muebles y Enseres
DNCP-SICP-CODE-105,"Ministerio de Urbanismo, Vivienda y Habitat (MUVH)",Cat14,Muebles y Enseres
DNCP-SICP-CODE-55,Municipalidad de Coronel Oviedo,Cat14,Muebles y Enseres
DNCP-SICP-CODE-281,Municipalidad de San Bernardino,Cat14,Muebles y Enseres
DNCP-SICP-CODE-37,Municipalidad de Villarrica,Cat14,Muebles y Enseres
DNCP-SICP-CODE-93,Municipalidad de Avaí,Cat14,Muebles y Enseres
DNCP-SICP-CODE-7,Municipalidad de Benjamín Aceval,Cat14,Muebles y Enseres
DNCP-SICP-CODE-133,Municipalidad de Carmen del Paraná,Cat14,Muebles y Enseres
DNCP-SICP-CODE-141,Municipalidad de Fram,Cat14,Muebles y Enseres
DNCP-SICP-CODE-72,Municipalidad de R.I. 3 Corrales,Cat14,Muebles y Enseres
DNCP-SICP-CODE-192,Municipalidad de Tebicuarymi,Cat14,Muebles y Enseres
DNCP-SICP-CODE-85,Municipalidad de Vaquería,Cat14,Muebles y Enseres
DNCP-SICP-CODE-330,Municipalidad de Tte Esteban Martinez,Cat14,Muebles y Enseres
DNCP-SICP-CODE-214,Municipalidad de San Miguel,Cat14,Muebles y Enseres
DNCP-SICP-CODE-232,Municipalidad de Mbaracayú,Cat14,Muebles y Enseres
DNCP-SICP-CODE-100,Municipalidad de Limpio,Cat14,Muebles y Enseres
DNCP-SICP-CODE-70,Municipalidad de Mcal. Francisco Solano López,Cat14,Muebles y Enseres
DNCP-SICP-CODE-210,Municipalidad de Yatytay,Cat14,Muebles y Enseres
DNCP-SICP-CODE-197,Municipalidad de Domingo Martínez de Irala,Cat14,Muebles y Enseres
DNCP-SICP-CODE-11,Ministerio de Justicia  (MJ),Cat14,Muebles y Enseres
DNCP-SICP-CODE-260,Municipalidad de Santa Rosa del Aguaray,Cat14,Muebles y Enseres
